user_id,event_name,event_time,amount
1,app_open_initial,2024-02-21,
1,add_money,2024-02-21,77.0
1,make_payment,2024-02-21,9.0
1,set_up_direct_debit,2024-02-24,
1,app_open_return,2024-02-26,
2,add_money,2024-01-17,59.0
2,make_payment,2024-01-18,84.0
2,app_open_return,2024-01-22,
3,app_open_initial,2024-03-12,
3,add_money,2024-03-14,562.0
3,make_payment,2024-03-15,32.0
3,set_up_direct_debit,2024-03-15,
3,app_open_return,2024-03-17,
4,app_open_initial,2024-03-01,
4,add_money,2024-03-04,205.0
5,app_open_initial,2024-01-22,
5,add_money,2024-01-22,560.0
5,make_payment,2024-01-23,33.0
5,app_open_return,2024-01-27,
6,add_money,2024-03-23,740.0
6,make_payment,2024-03-24,24.0
7,app_open_initial,2024-03-28,
7,add_money,2024-03-27,234.0
8,app_open_initial,2024-03-15,
8,add_money,2024-03-18,200.0
8,make_payment,2024-03-18,56.0
8,app_open_return,2024-03-18,
9,app_open_initial,2024-03-15,
9,add_money,2024-03-18,407.0
9,app_open_return,2024-03-18,
10,app_open_initial,2024-03-28,
11,app_open_initial,2024-01-24,
12,app_open_initial,2024-01-03,
13,app_open_initial,2024-01-22,
14,app_open_initial,2024-02-22,
14,add_money,2024-02-25,753.0
14,make_payment,2024-02-25,165.0
15,app_open_initial,2024-01-02,
15,add_money,2024-01-04,373.0
16,add_money,2024-03-29,643.0
17,add_money,2024-01-31,871.0
18,app_open_initial,2024-02-08,
18,add_money,2024-02-07,964.0
18,make_payment,2024-02-07,165.0
18,set_up_direct_debit,2024-02-07,
18,app_open_return,2024-02-14,
19,app_open_initial,2024-01-02,
19,add_money,2024-01-03,891.0
20,app_open_initial,2024-03-05,
20,add_money,2024-03-05,973.0
20,make_payment,2024-03-06,157.0
20,app_open_return,2024-03-10,
21,app_open_initial,2024-03-01,
21,add_money,2024-03-03,392.0
22,add_money,2024-01-23,668.0
22,make_payment,2024-01-25,121.0
22,app_open_return,2024-01-25,
23,app_open_initial,2024-02-03,
24,app_open_initial,2024-03-16,
24,add_money,2024-03-16,613.0
25,app_open_initial,2024-02-28,
25,add_money,2024-03-01,719.0
26,app_open_initial,2024-01-22,
26,add_money,2024-01-24,400.0
27,app_open_initial,2024-03-29,
27,add_money,2024-03-30,494.0
27,make_payment,2024-04-02,88.0
28,app_open_initial,2024-02-19,
28,add_money,2024-02-20,940.0
28,make_payment,2024-02-21,122.0
29,app_open_initial,2024-02-28,
29,add_money,2024-02-29,682.0
30,app_open_initial,2024-02-12,
30,add_money,2024-02-14,99.0
31,app_open_initial,2024-02-29,
31,add_money,2024-03-03,488.0
31,app_open_return,2024-03-04,
32,add_money,2024-03-20,711.0
32,make_payment,2024-03-22,167.0
33,app_open_initial,2024-01-16,
33,add_money,2024-01-15,303.0
33,make_payment,2024-01-18,39.0
34,app_open_initial,2024-03-02,
34,add_money,2024-03-02,508.0
34,app_open_return,2024-03-06,
35,app_open_initial,2024-03-03,
