user_id,signup_date,acquisition_channel
1,2024-02-21,referral
2,2024-01-15,organic
3,2024-03-12,organic
4,2024-03-01,paid
5,2024-01-21,paid
6,2024-03-23,referral
7,2024-03-27,organic
8,2024-03-15,organic
9,2024-03-15,organic
10,2024-03-28,referral
11,2024-01-24,referral
12,2024-01-03,paid
13,2024-01-22,paid
14,2024-02-22,paid
15,2024-01-02,organic
16,2024-03-28,organic
17,2024-01-30,paid
18,2024-02-07,organic
19,2024-01-02,paid
20,2024-03-04,referral
21,2024-02-29,paid
22,2024-01-21,referral
23,2024-02-02,organic
24,2024-03-16,paid
25,2024-02-27,organic
26,2024-01-22,referral
27,2024-03-29,referral
28,2024-02-18,referral
29,2024-02-28,organic
30,2024-02-11,organic
31,2024-02-29,organic
32,2024-03-20,organic
33,2024-01-15,referral
34,2024-03-02,referral
35,2024-03-02,paid
36,2024-02-16,paid
37,2024-03-02,organic
38,2024-02-20,referral
39,2024-02-24,referral
40,2024-03-04,referral
41,2024-01-03,paid
42,2024-02-20,paid
43,2024-01-07,referral
44,2024-01-21,referral
45,2024-03-13,referral
46,2024-02-08,paid
47,2024-01-18,referral
48,2024-01-04,referral
49,2024-03-29,organic
50,2024-02-29,organic
51,2024-01-14,paid
52,2024-01-09,referral
53,2024-03-30,referral
54,2024-02-22,organic
55,2024-01-02,paid
56,2024-03-24,organic
57,2024-02-29,organic
58,2024-03-11,organic
59,2024-02-13,organic
60,2024-01-08,referral
61,2024-02-16,referral
62,2024-02-04,organic
63,2024-03-18,paid
64,2024-03-21,paid
65,2024-02-05,paid
66,2024-02-19,paid
67,2024-01-04,organic
68,2024-01-02,referral
69,2024-01-06,paid
70,2024-02-23,organic
71,2024-01-04,paid
72,2024-02-23,paid
73,2024-03-03,organic
74,2024-01-18,referral
75,2024-03-30,referral
76,2024-02-13,organic
77,2024-02-03,referral
78,2024-03-14,organic
79,2024-03-02,organic
80,2024-01-14,organic
81,2024-02-17,referral
82,2024-01-15,organic
83,2024-03-12,paid
84,2024-03-18,referral
85,2024-03-27,referral
86,2024-03-02,referral
87,2024-02-09,referral
88,2024-03-25,paid
89,2024-03-20,referral
90,2024-03-22,referral
91,2024-02-22,organic
92,2024-01-24,referral
93,2024-01-26,paid
94,2024-03-29,paid
95,2024-02-29,paid
96,2024-02-10,paid
97,2024-01-29,referral
98,2024-01-15,referral
99,2024-02-14,paid
100,2024-03-05,paid
101,2024-03-29,referral
102,2024-03-11,paid
103,2024-01-09,organic
104,2024-03-28,paid
105,2024-01-01,paid
106,2024-01-08,organic
107,2024-03-28,organic
108,2024-03-03,referral
109,2024-01-11,referral
110,2024-03-21,organic
111,2024-01-08,organic
112,2024-02-04,referral
113,2024-02-04,paid
114,2024-02-02,organic
115,2024-01-05,referral
116,2024-02-10,paid
117,2024-01-28,organic
118,2024-01-07,paid
119,2024-03-13,referral
120,2024-03-12,organic
121,2024-01-12,paid
122,2024-02-03,organic
123,2024-02-02,paid
124,2024-02-17,referral
125,2024-01-23,referral
126,2024-03-02,organic
127,2024-03-28,paid
128,2024-02-06,organic
129,2024-02-13,organic
130,2024-03-26,paid
131,2024-02-04,paid
132,2024-03-05,paid
133,2024-02-16,referral
134,2024-03-18,organic
135,2024-01-03,organic
136,2024-01-01,referral
137,2024-01-05,paid
138,2024-03-30,referral
139,2024-01-14,referral
140,2024-01-27,referral
141,2024-01-09,organic
142,2024-03-19,referral
143,2024-01-15,organic
144,2024-03-30,organic
145,2024-02-11,organic
146,2024-03-17,paid
147,2024-02-20,organic
148,2024-03-03,organic
149,2024-02-21,paid
150,2024-01-04,organic
151,2024-01-23,referral
152,2024-01-15,referral
153,2024-02-12,organic
154,2024-01-29,paid
155,2024-02-05,referral
156,2024-01-13,paid
157,2024-02-01,paid
158,2024-03-11,referral
159,2024-02-28,paid
160,2024-03-26,referral
161,2024-01-28,paid
162,2024-03-06,referral
163,2024-02-11,organic
164,2024-02-14,referral
165,2024-03-02,referral
166,2024-02-26,referral
167,2024-01-06,referral
168,2024-01-28,paid
169,2024-01-28,organic
170,2024-02-13,referral
171,2024-03-24,paid
172,2024-01-30,organic
173,2024-03-02,organic
174,2024-03-15,organic
175,2024-03-29,organic
176,2024-03-02,referral
177,2024-01-01,referral
178,2024-01-27,paid
179,2024-03-02,paid
180,2024-03-17,paid
181,2024-01-03,organic
182,2024-03-10,organic
183,2024-03-12,referral
184,2024-01-27,organic
185,2024-01-09,organic
186,2024-03-02,organic
187,2024-02-06,paid
188,2024-02-20,paid
189,2024-02-13,referral
190,2024-01-24,organic
191,2024-03-19,organic
192,2024-02-28,referral
193,2024-02-01,organic
194,2024-03-28,organic
195,2024-02-21,paid
196,2024-03-02,referral
197,2024-02-27,referral
198,2024-02-21,referral
199,2024-01-12,referral
200,2024-02-08,paid
201,2024-01-02,paid
202,2024-01-03,organic
203,2024-02-25,organic
204,2024-03-21,organic
205,2024-02-28,organic
206,2024-01-02,paid
207,2024-01-02,referral
208,2024-02-23,paid
209,2024-03-27,organic
210,2024-01-01,paid
211,2024-01-19,referral
212,2024-01-02,referral
213,2024-02-22,paid
214,2024-02-13,paid
215,2024-03-30,paid
216,2024-02-01,organic
217,2024-03-10,paid
218,2024-02-01,paid
219,2024-03-08,paid
220,2024-02-24,referral
221,2024-03-15,referral
222,2024-02-25,organic
223,2024-01-17,organic
224,2024-02-07,referral
225,2024-01-24,referral
226,2024-03-09,referral
227,2024-03-10,paid
228,2024-03-26,paid
229,2024-01-11,referral
230,2024-01-16,paid
231,2024-03-13,paid
232,2024-02-28,organic
233,2024-03-10,referral
234,2024-03-20,referral
235,2024-01-03,paid
236,2024-01-20,referral
237,2024-02-28,organic
238,2024-02-05,organic
239,2024-01-19,organic
240,2024-03-30,referral
241,2024-03-07,referral
242,2024-01-19,referral
243,2024-01-20,referral
244,2024-03-11,referral
245,2024-02-21,organic
246,2024-02-02,paid
247,2024-02-09,organic
248,2024-02-08,referral
249,2024-03-22,organic
250,2024-01-01,referral
251,2024-01-11,referral
252,2024-02-26,organic
253,2024-03-29,referral
254,2024-02-19,paid
255,2024-01-23,referral
256,2024-01-31,paid
257,2024-02-11,paid
258,2024-01-07,referral
259,2024-01-16,organic
260,2024-03-30,paid
261,2024-02-29,organic
262,2024-01-02,paid
263,2024-01-01,referral
264,2024-02-17,referral
265,2024-01-12,paid
266,2024-03-09,referral
267,2024-02-06,paid
268,2024-02-01,referral
269,2024-01-09,organic
270,2024-01-19,referral
271,2024-02-17,organic
272,2024-03-20,referral
273,2024-01-03,organic
274,2024-01-20,referral
275,2024-01-24,organic
276,2024-02-23,paid
277,2024-02-02,paid
278,2024-01-24,organic
279,2024-03-15,referral
280,2024-03-12,organic
281,2024-02-05,referral
282,2024-02-07,paid
283,2024-03-24,referral
284,2024-03-29,paid
285,2024-01-25,referral
286,2024-01-18,referral
287,2024-03-22,referral
288,2024-03-06,organic
289,2024-02-23,organic
290,2024-02-04,paid
291,2024-03-20,paid
292,2024-03-01,organic
293,2024-02-10,paid
294,2024-02-02,organic
295,2024-03-08,referral
296,2024-02-02,paid
297,2024-01-14,paid
298,2024-01-21,organic
299,2024-02-17,paid
300,2024-01-20,paid
301,2024-01-08,referral
302,2024-01-07,paid
303,2024-03-07,referral
304,2024-01-17,organic
305,2024-02-02,paid
306,2024-02-17,referral
307,2024-03-16,organic
308,2024-02-28,paid
309,2024-03-26,organic
310,2024-01-22,paid
311,2024-01-30,organic
312,2024-02-07,organic
313,2024-02-20,referral
314,2024-02-23,organic
315,2024-01-08,paid
316,2024-01-27,paid
317,2024-01-27,referral
318,2024-01-21,paid
319,2024-01-30,paid
320,2024-01-28,paid
321,2024-03-04,organic
322,2024-03-09,organic
323,2024-03-01,paid
324,2024-02-17,referral
325,2024-01-19,organic
326,2024-01-04,referral
327,2024-02-04,paid
328,2024-03-04,paid
329,2024-02-18,organic
330,2024-01-17,paid
331,2024-02-13,organic
332,2024-01-30,paid
333,2024-02-15,paid
334,2024-01-06,organic
335,2024-02-06,organic
336,2024-01-24,organic
337,2024-02-15,paid
338,2024-02-22,paid
339,2024-02-29,referral
340,2024-03-03,organic
341,2024-03-25,paid
342,2024-02-01,paid
343,2024-03-27,organic
344,2024-02-02,referral
345,2024-03-07,organic
346,2024-01-18,referral
347,2024-01-25,paid
348,2024-02-23,referral
349,2024-02-27,paid
350,2024-03-07,organic
351,2024-02-15,organic
352,2024-01-24,organic
353,2024-02-01,referral
354,2024-02-16,paid
355,2024-03-26,organic
356,2024-01-23,organic
357,2024-03-06,paid
358,2024-01-27,organic
359,2024-01-02,paid
360,2024-03-30,paid
361,2024-01-17,paid
362,2024-02-02,paid
363,2024-01-09,paid
364,2024-02-12,referral
365,2024-02-17,organic
366,2024-02-08,referral
367,2024-02-11,organic
368,2024-01-26,referral
369,2024-02-19,paid
370,2024-01-25,organic
371,2024-01-24,organic
372,2024-01-13,referral
373,2024-02-29,referral
374,2024-01-07,organic
375,2024-02-26,referral
376,2024-02-05,referral
377,2024-02-14,referral
378,2024-01-20,paid
379,2024-03-05,paid
380,2024-01-08,referral
381,2024-01-16,referral
382,2024-01-14,paid
383,2024-03-16,paid
384,2024-03-27,organic
385,2024-01-15,organic
386,2024-03-06,paid
387,2024-02-01,referral
388,2024-03-27,referral
389,2024-03-03,referral
390,2024-03-26,referral
391,2024-02-20,organic
392,2024-01-25,paid
393,2024-02-27,referral
394,2024-03-03,organic
395,2024-03-02,referral
396,2024-01-22,paid
397,2024-02-27,organic
398,2024-02-27,paid
399,2024-03-26,paid
400,2024-02-18,organic
401,2024-02-21,organic
402,2024-02-11,organic
403,2024-03-10,organic
404,2024-01-15,organic
405,2024-02-23,organic
406,2024-02-29,organic
407,2024-01-08,referral
408,2024-02-22,paid
409,2024-02-29,organic
410,2024-01-05,referral
411,2024-03-08,referral
412,2024-01-06,referral
413,2024-02-16,paid
414,2024-02-24,organic
415,2024-02-09,referral
416,2024-02-21,paid
417,2024-01-16,paid
418,2024-01-13,paid
419,2024-01-30,referral
420,2024-01-19,organic
421,2024-01-17,referral
422,2024-03-03,referral
423,2024-01-19,organic
424,2024-02-27,organic
425,2024-02-24,organic
426,2024-03-30,paid
427,2024-03-30,organic
428,2024-03-02,referral
429,2024-01-23,organic
430,2024-01-09,referral
431,2024-01-12,paid
432,2024-01-01,referral
433,2024-02-27,referral
434,2024-01-01,organic
435,2024-02-03,organic
436,2024-02-17,referral
437,2024-03-29,organic
438,2024-01-01,paid
439,2024-01-16,paid
440,2024-03-01,organic
441,2024-03-04,paid
442,2024-03-03,organic
443,2024-03-09,referral
444,2024-01-22,referral
445,2024-03-07,paid
446,2024-03-16,organic
447,2024-01-26,organic
448,2024-01-16,paid
449,2024-02-20,referral
450,2024-03-26,paid
451,2024-02-26,referral
452,2024-01-29,organic
453,2024-03-18,referral
454,2024-03-09,paid
455,2024-02-16,organic
456,2024-03-02,paid
457,2024-03-09,paid
458,2024-03-16,referral
459,2024-01-16,paid
460,2024-03-30,referral
461,2024-03-30,organic
462,2024-02-17,referral
463,2024-03-25,organic
464,2024-02-08,referral
465,2024-02-02,paid
466,2024-01-23,referral
467,2024-01-10,referral
468,2024-03-09,organic
